"id","브랜드명","카테고리","면세","일본사이트","해외사이트","트위터","인스타","어필리에이트","오프라인매장"
"1","LIZ LISA","양산형","O","https://tokyokawaiilife.jp","https://tokyokawaiilife.com","@lizlisaofficial","@lizlisa_official_japan","","도쿄 시부야 109 6F | 도쿄 라포레 하라주쿠 5F | 오사카 우메다 EST B1F"
"2","Ank Rouge","양산형","O","https://ailand-store.jp/ankrouge/","","@AnkRouge","@ankrouge_official","https://google.com","도쿄 라포레 하라주쿠 4F | 오사카 우메다 HEP FIVE 3F"
"3","Honey Cinnamon","양산형","O","http://honeycinnamon.jp/","https://bunnyapartment.com/honeycinnamon/","@honeyc0214","","",""
"4","Secret Honey","양산형","O","https://www.rakuten.ne.jp/gold/secrethoney/","","@SecretHoney_HB","","","도쿄 시부야 109 3F | 도쿄 라포레 하라주쿠 5F | 도쿄 이케부쿠로 선샤인 파르코 B1F | 오사카 우메다 HEP FIVE 4F"
"5","evelyn","양산형","O","https://evelyn.tokyo.jp/","","@evelyn_tokyo","@evelyn.official","","도쿄 시부야 109 3F | 도쿄 라포레 하라주쿠 5F | 오사카 우메다 HEP FIVE 1F"
"6","Swankiss","양산형","O","https://swankiss.net/","","@Swankiss","","","도쿄 시부야 109 5F | 도쿄 라포레 하라주쿠 4F"
"7","meltie","양산형","X","https://meltie.jp/","","","","",""
"8","ROJITA","지뢰계","O","https://rlab-store.jp","","@ROJITA__jp","@rojita__official","https://google.com","도쿄 시부야 109 7F | 도쿄 라포레 하라주쿠 4F | 도쿄 이케부쿠로 파르코 B2F | 오사카 우메다 EST B1F"
"9","NOEMIE","지뢰계","X","https://palemoba.com/noemie/","","@Noemie_shop","@noemie_official_","","오사카 우메다 HEP FIVE 3F"
"10","Jamie エーエヌケー","지뢰계","O","https://ailand-store.jp/jamieank/","","@Jamie_ank","@jamieank_official","","도쿄 라포레 하라주쿠 4F | 오사카 우메다 EST 2F"
"11","MA*RS","지뢰계","O","https://lilimpark.jp/","","@mars_amoebamars","@marsofficialjapan","","도쿄 시부야 109 6F"
"12","EATME","지뢰계","O","https://runway-webstore.com/eatme/","","@EATME_tweet","@eatme_japan","","오사카 우메다 EST 3F"
"13","DearMyLove","지뢰계","X","https://dreamvs.jp/collections/dearmylove","","@dearmylove_yume","@dearmylove_official","",""
"14","pium","스나계","X","https://piumofficial.com/","","@pium__official","","",""
"15","SNIDEL","스나계","O","https://snidel.com/","","@snidelOfficial","@snidel_official","","도쿄 루미네 신주쿠 2F | 오사카 루쿠아 오사카 3F"
"16","REDYAZEL","스나계","O","https://online.burnedestrose.com/bstr/shop/brand/redyazel","https://www.burnedestrose.com/shop/e/eRAfeat/","@redyazel","","","도쿄 루미네 신주쿠 3F"
"17","titty&Co.","스나계","O","https://zozo.jp/brand/tittyandco/","","@tittyandco_","@tittyandco_com","","도쿄 시부야 109 5F"
"18","GRL","스나계","X","https://www.grail.bz/","","@GRL_official","@grl_official","",""
"19","DimMoire","지뢰계","X","https://www.dimmoire.jp","https://acrotokyo-global.com","@_DimMoire_","","","도쿄 라포레 하라주쿠 B1F (아크로도쿄)"
"20","Amilige","지뢰계","O","","","@OfficialAmilige","@amilige_official","","도쿄 라포레 하라주쿠 B1F | 오사카 우메다 EST 2F"
"21","KRY clothing","서브컬쳐","X","https://www.kry.tokyo/","","@KRY_official_","@kry231","",""
"22","REFLEM","서브컬쳐","O","","https://acrotokyo-global.com","@_REFLEM","","","도쿄 라포레 하라주쿠 B1F (아크로도쿄) | 오사카 우메다 HEP FIVE 6F"
